
2025/01/04 (11:06:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (12:13:14) | ===> btop++ v.1.4.0
2025/01/04 (12:13:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/04 (12:13:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (12:21:14) | ===> btop++ v.1.4.0
2025/01/04 (12:21:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/04 (12:21:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (12:52:02) | ===> btop++ v.1.4.0
2025/01/04 (12:52:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/04 (12:52:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (20:07:57) | ===> btop++ v.1.4.0
2025/01/06 (20:07:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/06 (20:07:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (12:08:52) | ===> btop++ v.1.4.0
2025/01/07 (12:08:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (12:08:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (19:17:05) | ===> btop++ v.1.4.0
2025/01/29 (19:17:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/29 (19:17:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (13:44:03) | ===> btop++ v.1.4.0
2025/02/01 (13:44:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/01 (13:44:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (13:50:02) | ===> btop++ v.1.4.0
2025/02/01 (13:50:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/01 (13:50:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (15:37:17) | ===> btop++ v.1.4.0
2025/02/11 (15:37:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/11 (15:37:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (11:19:08) | ===> btop++ v.1.4.0
2025/02/13 (11:19:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (11:19:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (16:25:18) | ===> btop++ v.1.4.0
2025/02/14 (16:25:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/14 (16:25:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (12:54:51) | ===> btop++ v.1.4.0
2025/03/23 (12:54:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/23 (12:54:51) | WARNING: Intel GPU: Failed to initialize PMU
